Column,Gap Size,Start Index,End Index
Index,7,2,8
Index,2,193,194
Index,14,201,214
Index,6,216,221
Index,4,263,266
Index,6,359,364
Index,9,445,453
Index,4,458,461
Index,6,479,484
Index,7,873,879
Index,1,938,938
Index,2,955,956
Index,1,999,999
Index,1,1027,1027
Index,2,1289,1290
Index,9,1389,1397
Index,1,1691,1691
Index,1,1786,1786
Index,29,2175,2203
Index,1,2215,2215
Index,2,2259,2260
Index,1,2262,2262
Index,13,2320,2332
Index,8,2339,2346
Index,1,2706,2706
Index,2,2739,2740
Index,2,2808,2809
Index,1,2815,2815
Index,1,2966,2966
Index,1,3024,3024
Index,6,3124,3129
Index,1,3184,3184
Index,4,3254,3257
Index,1,3273,3273
Index,1,3306,3306
Index,12,3333,3344
Index,1,3354,3354
