sol_number,avg_air_temp,avg_ground_temp,mean_pressure,day_length,sin_lon,cos_lon,mars_season_spring,mars_season_summer,mars_season_winter,UV_Radiation_low,UV_Radiation_moderate,UV_Radiation_very_high
1,0.5135135135135136,0.5869565217391304,0.16591928251121102,0.277777777777775,0.75,0.06698729810778065,0,0,1,0,0,1
9,0.5135135135135136,0.5869565217391304,0.16591928251121102,0.33333333333333215,0.7113091308703497,0.04684610648167503,0,0,1,0,0,1
10,0.5135135135135136,0.5869565217391304,0.16591928251121102,0.33333333333333215,0.7113091308703497,0.04684610648167503,0,0,1,0,0,1
11,0.5202702702702704,0.6304347826086956,0.17040358744394624,0.3055555555555536,0.7033683215379002,0.04322727117869962,0,0,1,0,0,1
12,0.5202702702702704,0.5543478260869565,0.1748878923766819,0.3055555555555536,0.7033683215379002,0.04322727117869962,0,0,1,0,0,1
13,0.5337837837837839,0.608695652173913,0.13452914798206317,0.3055555555555536,0.695365564244637,0.039747573273779924,0,0,1,0,0,1
14,0.5270270270270272,0.5978260869565216,0.17040358744394624,0.33333333333333215,0.695365564244637,0.039747573273779924,0,0,1,0,0,1
15,0.5202702702702704,0.5652173913043477,0.17040358744394624,0.33333333333333215,0.6873032967079561,0.03640807271660634,0,0,1,0,0,1
16,0.5337837837837839,0.7391304347826086,0.17040358744394624,0.33333333333333215,0.6873032967079561,0.03640807271660634,0,0,1,0,0,1
17,0.5202702702702704,0.7065217391304347,0.17937219730941711,0.33333333333333215,0.6791839747726501,0.03320978675139913,0,0,1,0,0,1
18,0.5202702702702704,0.7152173913043477,0.17847533632287016,0.3611111111111107,0.6710100716628344,0.03015368960704584,0,0,1,0,0,1
19,0.5202702702702704,0.7239130434782607,0.17713004484304973,0.3611111111111107,0.6710100716628344,0.03015368960704584,0,0,1,0,0,1
20,0.5202702702702704,0.7304347826086957,0.1757847533632293,0.3611111111111107,0.6627840772285785,0.027240712200341632,0,0,1,0,0,1
21,0.5202702702702704,0.7391304347826086,0.1748878923766819,0.3611111111111107,0.6627840772285785,0.027240712200341632,0,0,1,0,0,1
22,0.5270270270270272,0.7065217391304347,0.17937219730941711,0.3611111111111107,0.6545084971874737,0.024471741852423234,0,0,1,0,0,1
23,0.5270270270270272,0.5869565217391304,0.1748878923766819,0.3888888888888893,0.6545084971874737,0.024471741852423234,0,0,1,0,0,1
24,0.5000000000000001,0.6847826086956521,0.17937219730941711,0.3888888888888893,0.6461858523613685,0.021847622018482282,0,0,1,0,0,1
25,0.5270270270270272,0.6413043478260869,0.18385650224215278,0.3611111111111107,0.6461858523613685,0.021847622018482282,0,0,1,0,0,1
26,0.5000000000000001,0.5978260869565216,0.19282511210762365,0.3611111111111107,0.6378186779084998,0.019369152030840664,0,0,1,0,0,1
27,0.5202702702702704,0.5978260869565216,0.18385650224215278,0.3611111111111107,0.6378186779084998,0.019369152030840664,0,0,1,0,0,1
28,0.5202702702702704,0.5978260869565216,0.19282511210762365,0.3888888888888893,0.6294095225512605,0.0170370868554659,0,0,1,0,0,1
29,0.5405405405405406,0.7391304347826086,0.20179372197309453,0.3888888888888893,0.6209609477998339,0.014852136862001764,0,0,1,0,0,1
30,0.5202702702702704,0.7391304347826086,0.20179372197309453,0.3888888888888893,0.6209609477998339,0.014852136862001764,0,0,1,0,0,1
31,0.4932432432432433,0.5217391304347825,0.19282511210762365,0.3888888888888893,0.6124755271719324,0.012814967607382377,0,0,1,0,0,1
32,0.5040540540540541,0.6413043478260869,0.1995515695067267,0.3888888888888893,0.6124755271719324,0.012814967607382377,0,0,1,0,0,1
33,0.5135135135135136,0.7608695652173912,0.20627802690582975,0.4166666666666643,0.6039558454088797,0.010926199633097156,0,0,1,0,0,1
