sol_number,avg_air_temp,avg_ground_temp,mean_pressure,day_length,sin_lon,cos_lon,mars_season_spring,mars_season_summer,mars_season_winter,UV_Radiation_low,UV_Radiation_moderate,UV_Radiation_very_high
1,-37.5,-45.5,739.0,712.0,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,1
9,-37.5,-45.5,739.0,714.0,0.4226182617406995,-0.9063077870366499,0,0,1,0,0,1
10,-37.5,-45.5,739.0,714.0,0.4226182617406995,-0.9063077870366499,0,0,1,0,0,1
11,-37.0,-43.5,740.0,713.0,0.40673664307580043,-0.9135454576426008,0,0,1,0,0,1
12,-37.0,-47.0,741.0,713.0,0.40673664307580043,-0.9135454576426008,0,0,1,0,0,1
13,-36.0,-44.5,732.0,713.0,0.39073112848927416,-0.9205048534524402,0,0,1,0,0,1
14,-36.5,-45.0,740.0,714.0,0.39073112848927416,-0.9205048534524402,0,0,1,0,0,1
15,-37.0,-46.5,740.0,714.0,0.37460659341591224,-0.9271838545667873,0,0,1,0,0,1
16,-36.0,-38.5,740.0,714.0,0.37460659341591224,-0.9271838545667873,0,0,1,0,0,1
17,-37.0,-40.0,742.0,714.0,0.3583679495453002,-0.9335804264972017,0,0,1,0,0,1
18,-37.0,-39.6,741.8,715.0,0.3420201433256689,-0.9396926207859083,0,0,1,0,0,1
19,-37.0,-39.2,741.5,715.0,0.3420201433256689,-0.9396926207859083,0,0,1,0,0,1
20,-37.0,-38.9,741.2,715.0,0.32556815445715703,-0.9455185755993167,0,0,1,0,0,1
21,-37.0,-38.5,741.0,715.0,0.32556815445715703,-0.9455185755993167,0,0,1,0,0,1
22,-36.5,-40.0,742.0,715.0,0.3090169943749475,-0.9510565162951535,0,0,1,0,0,1
23,-36.5,-45.5,741.0,716.0,0.3090169943749475,-0.9510565162951535,0,0,1,0,0,1
24,-38.5,-41.0,742.0,716.0,0.29237170472273705,-0.9563047559630354,0,0,1,0,0,1
25,-36.5,-43.0,743.0,715.0,0.29237170472273705,-0.9563047559630354,0,0,1,0,0,1
26,-38.5,-45.0,745.0,715.0,0.27563735581699966,-0.9612616959383187,0,0,1,0,0,1
27,-37.0,-45.0,743.0,715.0,0.27563735581699966,-0.9612616959383187,0,0,1,0,0,1
28,-37.0,-45.0,745.0,716.0,0.258819045102521,-0.9659258262890682,0,0,1,0,0,1
29,-35.5,-38.5,747.0,716.0,0.24192189559966773,-0.9702957262759965,0,0,1,0,0,1
30,-37.0,-38.5,747.0,716.0,0.24192189559966773,-0.9702957262759965,0,0,1,0,0,1
31,-39.0,-48.5,745.0,716.0,0.22495105434386478,-0.9743700647852352,0,0,1,0,0,1
32,-38.2,-43.0,746.5,716.0,0.22495105434386478,-0.9743700647852352,0,0,1,0,0,1
33,-37.5,-37.5,748.0,717.0,0.20791169081775931,-0.9781476007338057,0,0,1,0,0,1
34,-36.0,-36.0,748.0,717.0,0.20791169081775931,-0.9781476007338057,0,0,1,0,0,1
35,-36.0,-37.0,749.0,717.0,0.19080899537654497,-0.981627183447664,0,0,1,0,0,1
36,-35.5,-37.0,750.0,717.0,0.19080899537654497,-0.981627183447664,0,0,1,0,0,1
37,-35.5,-36.5,750.0,717.0,0.17364817766693028,-0.984807753012208,0,0,1,0,0,1
38,-35.0,-43.0,750.0,718.0,0.15643446504023098,-0.9876883405951377,0,0,1,0,0,1
39,-36.0,-41.5,751.0,718.0,0.15643446504023098,-0.9876883405951377,0,0,1,0,0,1
40,-35.5,-43.5,753.0,718.0,0.13917310096006574,-0.9902680687415703,0,0,1,0,0,1
41,-35.5,-43.5,753.0,718.0,0.13917310096006574,-0.9902680687415703,0,0,1,0,0,1
42,-36.5,-41.0,754.0,718.0,0.12186934340514755,-0.992546151641322,0,0,1,0,0,1
43,-35.5,-43.0,756.0,718.0,0.12186934340514755,-0.992546151641322,0,0,1,0,0,1
44,-36.5,-42.5,757.0,719.0,0.10452846326765373,-0.9945218953682733,0,0,1,0,0,1
45,-38.0,-41.5,758.0,719.0,0.08715574274765864,-0.9961946980917455,0,0,1,0,0,1
46,-35.0,-43.0,758.0,719.0,0.08715574274765864,-0.9961946980917455,0,0,1,0,0,1
47,-34.5,-42.0,758.0,719.0,0.06975647374412552,-0.9975640502598242,0,0,1,0,0,1
48,-36.0,-37.5,759.0,719.0,0.06975647374412552,-0.9975640502598242,0,0,1,0,0,1
49,-35.5,-42.0,761.0,719.0,0.05233595624294381,-0.9986295347545738,0,0,1,0,0,1
